ID,Age,Sex,Subject_DS,Score_DS,Subject_MT,Score_MT,Subject_PY,Score_PY
1,18,1,Data Structue,82.0,Maths,88.0,Physics,84.0
2,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
3,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
4,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
5,18,2,Data Structue,76.0,Maths,82.0,Physics,78.0
6,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
7,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
8,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
9,18,1,Data Structue,82.0,Maths,88.0,Physics,84.0
10,19,2,Data Structue,82.0,Maths,88.0,Physics,84.0
11,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
12,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
13,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
14,18,1,Data Structue,82.0,Maths,88.0,Physics,84.0
15,21,2,Data Structue,82.0,Maths,88.0,Physics,84.0
16,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
17,18,1,Data Structue,25.0,Maths,31.0,Physics,0.0
18,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
19,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
20,18,2,Data Structue,60.0,Maths,66.0,Physics,62.0
21,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
22,18,1,Data Structue,60.0,Maths,66.0,Physics,62.0
23,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
24,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
25,20,2,Data Structue,85.0,Maths,91.0,Physics,87.0
26,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
27,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
28,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
29,21,1,Data Structue,82.0,Maths,88.0,Physics,84.0
30,19,2,Data Structue,79.0,Maths,85.0,Physics,81.0
31,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
32,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
33,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
34,18,1,Data Structue,0.0,Maths,66.0,Physics,94.0
35,20,2,Data Structue,47.0,Maths,53.0,Physics,49.0
36,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
37,18,1,Data Structue,47.0,Maths,53.0,Physics,49.0
38,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
39,18,1,Data Structue,39.0,Maths,45.0,Physics,41.0
40,19,2,Data Structue,60.0,Maths,66.0,Physics,62.0
41,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
42,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
43,21,1,Data Structue,59.0,Maths,65.0,Physics,61.0
44,18,1,Data Structue,79.0,Maths,85.0,Physics,81.0
45,20,2,Data Structue,76.0,Maths,82.0,Physics,78.0
46,21,1,Data Structue,59.0,Maths,65.0,Physics,61.0
47,21,1,Data Structue,79.0,Maths,85.0,Physics,81.0
48,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
49,18,1,Data Structue,59.0,Maths,65.0,Physics,61.0
50,19,2,Data Structue,60.0,Maths,66.0,Physics,62.0
51,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
52,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
53,19,1,Data Structue,39.0,Maths,0.0,Physics,41.0
54,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
55,21,2,Data Structue,82.0,Maths,88.0,Physics,84.0
56,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
57,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
58,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
59,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
60,18,2,Data Structue,89.0,Maths,95.0,Physics,91.0
61,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
62,18,1,Data Structue,47.0,Maths,53.0,Physics,49.0
63,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
64,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
65,21,2,Data Structue,79.0,Maths,85.0,Physics,81.0
66,21,1,Data Structue,39.0,Maths,45.0,Physics,0.0
67,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
68,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
69,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
70,20,2,Data Structue,69.0,Maths,75.0,Physics,71.0
71,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
72,21,1,Data Structue,59.0,Maths,65.0,Physics,61.0
73,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
74,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
75,18,2,Data Structue,76.0,Maths,82.0,Physics,78.0
76,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
77,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
78,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
79,18,1,Data Structue,59.0,Maths,65.0,Physics,61.0
80,19,2,Data Structue,79.0,Maths,85.0,Physics,81.0
81,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
82,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
83,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
84,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
85,21,2,Data Structue,39.0,Maths,45.0,Physics,41.0
86,18,1,Data Structue,79.0,Maths,85.0,Physics,81.0
87,19,1,Data Structue,0.0,Maths,45.0,Physics,90.0
88,21,1,Data Structue,79.0,Maths,85.0,Physics,81.0
89,18,1,Data Structue,39.0,Maths,45.0,Physics,41.0
90,21,2,Data Structue,39.0,Maths,45.0,Physics,41.0
91,19,1,Data Structue,79.0,Maths,85.0,Physics,0.0
92,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
93,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
94,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
95,19,2,Data Structue,59.0,Maths,65.0,Physics,61.0
